Namespace(upscale_factor=3, batchSize=4, testBatchSize=100, nEpochs=30, lr=0.001, cuda=True, mps=False, threads=4, seed=123)
===> Loading datasets
===> Building model
===> Epoch[6](12/50): Loss: 0.0058
===> Epoch[6](13/50): Loss: 0.0037
===> Epoch[6](14/50): Loss: 0.0032
===> Epoch[6](15/50): Loss: 0.0062
===> Epoch[6](16/50): Loss: 0.0028
===> Epoch[6](17/50): Loss: 0.0036
===> Epoch[6](18/50): Loss: 0.0043
===> Epoch[6](19/50): Loss: 0.0028
===> Epoch[6](20/50): Loss: 0.0032
===> Epoch[6](21/50): Loss: 0.0023
===> Epoch[6](22/50): Loss: 0.0042
===> Epoch[6](23/50): Loss: 0.0063
===> Epoch[6](24/50): Loss: 0.0032
===> Epoch[6](25/50): Loss: 0.0064
===> Epoch[6](26/50): Loss: 0.0035
===> Epoch[6](27/50): Loss: 0.0034
===> Epoch[6](28/50): Loss: 0.0031
===> Epoch[6](29/50): Loss: 0.0038
===> Epoch[6](30/50): Loss: 0.0022
===> Epoch[6](31/50): Loss: 0.0020
===> Epoch[6](32/50): Loss: 0.0027
===> Epoch[6](33/50): Loss: 0.0020
===> Epoch[6](34/50): Loss: 0.0045
===> Epoch[6](35/50): Loss: 0.0037
===> Epoch[6](36/50): Loss: 0.0040
===> Epoch[6](37/50): Loss: 0.0049
===> Epoch[6](38/50): Loss: 0.0043
===> Epoch[6](39/50): Loss: 0.0035
===> Epoch[6](40/50): Loss: 0.0061
===> Epoch[6](41/50): Loss: 0.0025
===> Epoch[6](42/50): Loss: 0.0013
===> Epoch[6](43/50): Loss: 0.0028
===> Epoch[6](44/50): Loss: 0.0012
===> Epoch[6](45/50): Loss: 0.0041
===> Epoch[6](46/50): Loss: 0.0030
===> Epoch[6](47/50): Loss: 0.0019
===> Epoch[6](48/50): Loss: 0.0023
===> Epoch[6](49/50): Loss: 0.0030
===> Epoch[6](50/50): Loss: 0.0064
===> Epoch 6 Complete: Avg. Loss: 0.0037
===> Avg. PSNR: 24.0519 dB
Checkpoint saved to model_epoch_6.pth
===> Epoch[7](1/50): Loss: 0.0052
===> Epoch[7](2/50): Loss: 0.0010
===> Epoch[7](3/50): Loss: 0.0030
===> Epoch[7](4/50): Loss: 0.0032
===> Epoch[7](5/50): Loss: 0.0063
===> Epoch[7](6/50): Loss: 0.0050
===> Epoch[7](7/50): Loss: 0.0028
===> Epoch[7](8/50): Loss: 0.0049
===> Epoch[7](9/50): Loss: 0.0040
===> Epoch[7](10/50): Loss: 0.0035
===> Epoch[7](11/50): Loss: 0.0039
===> Epoch[7](12/50): Loss: 0.0057
===> Epoch[7](13/50): Loss: 0.0034
===> Epoch[7](14/50): Loss: 0.0032
===> Epoch[7](15/50): Loss: 0.0038
===> Epoch[7](16/50): Loss: 0.0024
===> Epoch[7](17/50): Loss: 0.0060
===> Epoch[7](18/50): Loss: 0.0048
===> Epoch[7](19/50): Loss: 0.0046
===> Epoch[7](20/50): Loss: 0.0036
===> Epoch[7](21/50): Loss: 0.0025
===> Epoch[7](22/50): Loss: 0.0037
===> Epoch[7](23/50): Loss: 0.0030
===> Epoch[7](24/50): Loss: 0.0038
===> Epoch[7](25/50): Loss: 0.0042
===> Epoch[7](26/50): Loss: 0.0017
===> Epoch[7](27/50): Loss: 0.0062
===> Epoch[7](28/50): Loss: 0.0021
===> Epoch[7](29/50): Loss: 0.0022
===> Epoch[7](30/50): Loss: 0.0035
===> Epoch[7](31/50): Loss: 0.0019
===> Epoch[7](32/50): Loss: 0.0048
===> Epoch[7](33/50): Loss: 0.0028
===> Epoch[7](34/50): Loss: 0.0043
===> Epoch[7](35/50): Loss: 0.0032
===> Epoch[7](36/50): Loss: 0.0017
===> Epoch[7](37/50): Loss: 0.0050
===> Epoch[7](38/50): Loss: 0.0018
===> Epoch[7](39/50): Loss: 0.0039
===> Epoch[7](40/50): Loss: 0.0034
===> Epoch[7](41/50): Loss: 0.0021
===> Epoch[7](42/50): Loss: 0.0032
===> Epoch[7](43/50): Loss: 0.0036
===> Epoch[7](44/50): Loss: 0.0044
===> Epoch[7](45/50): Loss: 0.0027
===> Epoch[7](46/50): Loss: 0.0026
===> Epoch[7](47/50): Loss: 0.0019
===> Epoch[7](48/50): Loss: 0.0038
===> Epoch[7](49/50): Loss: 0.0015
===> Epoch[7](50/50): Loss: 0.0050
===> Epoch 7 Complete: Avg. Loss: 0.0035
===> Avg. PSNR: 24.1239 dB
Checkpoint saved to model_epoch_7.pth
===> Epoch[8](1/50): Loss: 0.0026
===> Epoch[8](2/50): Loss: 0.0016
===> Epoch[8](3/50): Loss: 0.0033
===> Epoch[8](4/50): Loss: 0.0048
===> Epoch[8](5/50): Loss: 0.0047
===> Epoch[8](6/50): Loss: 0.0023
===> Epoch[8](7/50): Loss: 0.0082
===> Epoch[8](8/50): Loss: 0.0038
===> Epoch[8](9/50): Loss: 0.0021
===> Epoch[8](10/50): Loss: 0.0035
===> Epoch[8](11/50): Loss: 0.0048
===> Epoch[8](12/50): Loss: 0.0024
===> Epoch[8](13/50): Loss: 0.0033
===> Epoch[8](14/50): Loss: 0.0039
